combinations             integer         fixed point                  FP
00000000                   0                   0                   0
00000001                   1               0.125    Denormal number 0.00195312
00000010                   2                0.25    Denormal number 0.00390625
00000011                   3               0.375    Denormal number 0.00585938
00000100                   4                 0.5    Denormal number 0.0078125
00000101                   5               0.625    Denormal number 0.00976562
00000110                   6                0.75    Denormal number 0.0117188
00000111                   7               0.875    Denormal number 0.0136719
00001000                   8                   1            0.015625
00001001                   9               1.125           0.0175781
00001010                  10                1.25           0.0195312
00001011                  11               1.375           0.0214844
00001100                  12                 1.5           0.0234375
00001101                  13               1.625           0.0253906
00001110                  14                1.75           0.0273438
00001111                  15               1.875           0.0292969
00010000                  16                   2             0.03125
00010001                  17               2.125           0.0351562
00010010                  18                2.25           0.0390625
00010011                  19               2.375           0.0429688
00010100                  20                 2.5            0.046875
00010101                  21               2.625           0.0507812
00010110                  22                2.75           0.0546875
00010111                  23               2.875           0.0585938
00011000                  24                   3              0.0625
00011001                  25               3.125           0.0703125
00011010                  26                3.25            0.078125
00011011                  27               3.375           0.0859375
00011100                  28                 3.5             0.09375
00011101                  29               3.625            0.101562
00011110                  30                3.75            0.109375
00011111                  31               3.875            0.117188
00100000                  32                   4               0.125
00100001                  33               4.125            0.140625
00100010                  34                4.25             0.15625
00100011                  35               4.375            0.171875
00100100                  36                 4.5              0.1875
00100101                  37               4.625            0.203125
00100110                  38                4.75             0.21875
00100111                  39               4.875            0.234375
00101000                  40                   5                0.25
00101001                  41               5.125             0.28125
00101010                  42                5.25              0.3125
00101011                  43               5.375             0.34375
00101100                  44                 5.5               0.375
00101101                  45               5.625             0.40625
00101110                  46                5.75              0.4375
00101111                  47               5.875             0.46875
00110000                  48                   6                 0.5
00110001                  49               6.125              0.5625
00110010                  50                6.25               0.625
00110011                  51               6.375              0.6875
00110100                  52                 6.5                0.75
00110101                  53               6.625              0.8125
00110110                  54                6.75               0.875
00110111                  55               6.875              0.9375
00111000                  56                   7                   1
00111001                  57               7.125               1.125
00111010                  58                7.25                1.25
00111011                  59               7.375               1.375
00111100                  60                 7.5                 1.5
00111101                  61               7.625               1.625
00111110                  62                7.75                1.75
00111111                  63               7.875               1.875
01000000                  64                   8                   2
01000001                  65               8.125                2.25
01000010                  66                8.25                 2.5
01000011                  67               8.375                2.75
01000100                  68                 8.5                   3
01000101                  69               8.625                3.25
01000110                  70                8.75                 3.5
01000111                  71               8.875                3.75
