combinations             integer         fixed point                  FP
01001000                  72                   9                   4
01001001                  73               9.125                 4.5
01001010                  74                9.25                   5
01001011                  75               9.375                 5.5
01001100                  76                 9.5                   6
01001101                  77               9.625                 6.5
01001110                  78                9.75                   7
01001111                  79               9.875                 7.5
01010000                  80                  10                   8
01010001                  81              10.125                   9
01010010                  82               10.25                  10
01010011                  83              10.375                  11
01010100                  84                10.5                  12
01010101                  85              10.625                  13
01010110                  86               10.75                  14
01010111                  87              10.875                  15
01011000                  88                  11                  16
01011001                  89              11.125                  18
01011010                  90               11.25                  20
01011011                  91              11.375                  22
01011100                  92                11.5                  24
01011101                  93              11.625                  26
01011110                  94               11.75                  28
01011111                  95              11.875                  30
01100000                  96                  12                  32
01100001                  97              12.125                  36
01100010                  98               12.25                  40
01100011                  99              12.375                  44
01100100                 100                12.5                  48
01100101                 101              12.625                  52
01100110                 102               12.75                  56
01100111                 103              12.875                  60
01101000                 104                  13                  64
01101001                 105              13.125                  72
01101010                 106               13.25                  80
01101011                 107              13.375                  88
01101100                 108                13.5                  96
01101101                 109              13.625                 104
01101110                 110               13.75                 112
01101111                 111              13.875                 120
01110000                 112                  14                 128
01110001                 113              14.125                 144
01110010                 114               14.25                 160
01110011                 115              14.375                 176
01110100                 116                14.5                 192
01110101                 117              14.625                 208
01110110                 118               14.75                 224
01110111                 119              14.875                 240
01111000                 120                  15           +infinity
01111001                 121              15.125                 NAN
01111010                 122               15.25                 NAN
01111011                 123              15.375                 NAN
01111100                 124                15.5                 NAN
01111101                 125              15.625                 NAN
01111110                 126               15.75                 NAN
01111111                 127              15.875                 NAN
10000000                   0                   0                   0
10000001                  -1              -0.125    Denormal number -0.00195312
10000010                  -2               -0.25    Denormal number -0.00390625
10000011                  -3              -0.375    Denormal number -0.00585938
10000100                  -4                -0.5    Denormal number -0.0078125
10000101                  -5              -0.625    Denormal number -0.00976562
10000110                  -6               -0.75    Denormal number -0.0117188
10000111                  -7              -0.875    Denormal number -0.0136719
10001000                  -8                  -1           -0.015625
10001001                  -9              -1.125          -0.0175781
10001010                 -10               -1.25          -0.0195312
10001011                 -11              -1.375          -0.0214844
10001100                 -12                -1.5          -0.0234375
10001101                 -13              -1.625          -0.0253906
10001110                 -14               -1.75          -0.0273438
10001111                 -15              -1.875          -0.0292969
10010000                 -16                  -2            -0.03125
10010001                 -17              -2.125          -0.0351562
10010010                 -18               -2.25          -0.0390625
10010011                 -19              -2.375          -0.0429688
10010100                 -20                -2.5           -0.046875
10010101                 -21              -2.625          -0.0507812
10010110                 -22               -2.75          -0.0546875
10010111                 -23              -2.875          -0.0585938
10011000                 -24                  -3             -0.0625
10011001                 -25              -3.125          -0.0703125
10011010                 -26               -3.25           -0.078125
10011011                 -27              -3.375          -0.0859375
10011100                 -28                -3.5            -0.09375
10011101                 -29              -3.625           -0.101562
10011110                 -30               -3.75           -0.109375
10011111                 -31              -3.875           -0.117188
10100000                 -32                  -4              -0.125
10100001                 -33              -4.125           -0.140625
10100010                 -34               -4.25            -0.15625
10100011                 -35              -4.375           -0.171875
10100100                 -36                -4.5             -0.1875
10100101                 -37              -4.625           -0.203125
10100110                 -38               -4.75            -0.21875
10100111                 -39              -4.875           -0.234375
10101000                 -40                  -5               -0.25
10101001                 -41              -5.125            -0.28125
10101010                 -42               -5.25             -0.3125
10101011                 -43              -5.375            -0.34375
10101100                 -44                -5.5              -0.375
10101101                 -45              -5.625            -0.40625
10101110                 -46               -5.75             -0.4375
10101111                 -47              -5.875            -0.46875
10110000                 -48                  -6                -0.5
10110001                 -49              -6.125             -0.5625
10110010                 -50               -6.25              -0.625
10110011                 -51              -6.375             -0.6875
10110100                 -52                -6.5               -0.75
10110101                 -53              -6.625             -0.8125
10110110                 -54               -6.75              -0.875
10110111                 -55              -6.875             -0.9375
10111000                 -56                  -7                  -1
10111001                 -57              -7.125              -1.125
10111010                 -58               -7.25               -1.25
10111011                 -59              -7.375              -1.375
10111100                 -60                -7.5                -1.5
10111101                 -61              -7.625              -1.625
10111110                 -62               -7.75               -1.75
10111111                 -63              -7.875              -1.875
11000000                 -64                  -8                  -2
11000001                 -65              -8.125               -2.25
11000010                 -66               -8.25                -2.5
11000011                 -67              -8.375               -2.75
11000100                 -68                -8.5                  -3
11000101                 -69              -8.625               -3.25
11000110                 -70               -8.75                -3.5
11000111                 -71              -8.875               -3.75
11001000                 -72                  -9                  -4
11001001                 -73              -9.125                -4.5
11001010                 -74               -9.25                  -5
11001011                 -75              -9.375                -5.5
11001100                 -76                -9.5                  -6
11001101                 -77              -9.625                -6.5
11001110                 -78               -9.75                  -7
11001111                 -79              -9.875                -7.5
11010000                 -80                 -10                  -8
11010001                 -81             -10.125                  -9
11010010                 -82              -10.25                 -10
11010011                 -83             -10.375                 -11
11010100                 -84               -10.5                 -12
11010101                 -85             -10.625                 -13
11010110                 -86              -10.75                 -14
11010111                 -87             -10.875                 -15
11011000                 -88                 -11                 -16
11011001                 -89             -11.125                 -18
11011010                 -90              -11.25                 -20
11011011                 -91             -11.375                 -22
11011100                 -92               -11.5                 -24
11011101                 -93             -11.625                 -26
11011110                 -94              -11.75                 -28
11011111                 -95             -11.875                 -30
11100000                 -96                 -12                 -32
11100001                 -97             -12.125                 -36
11100010                 -98              -12.25                 -40
11100011                 -99             -12.375                 -44
11100100                -100               -12.5                 -48
11100101                -101             -12.625                 -52
11100110                -102              -12.75                 -56
11100111                -103             -12.875                 -60
11101000                -104                 -13                 -64
11101001                -105             -13.125                 -72
11101010                -106              -13.25                 -80
11101011                -107             -13.375                 -88
11101100                -108               -13.5                 -96
11101101                -109             -13.625                -104
11101110                -110              -13.75                -112
11101111                -111             -13.875                -120
11110000                -112                 -14                -128
11110001                -113             -14.125                -144
11110010                -114              -14.25                -160
11110011                -115             -14.375                -176
11110100                -116               -14.5                -192
11110101                -117             -14.625                -208
11110110                -118              -14.75                -224
11110111                -119             -14.875                -240
11111000                -120                 -15           -infinity
11111001                -121             -15.125                 NAN
11111010                -122              -15.25                 NAN
11111011                -123             -15.375                 NAN
11111100                -124               -15.5                 NAN
11111101                -125             -15.625                 NAN
11111110                -126              -15.75                 NAN
11111111                -127             -15.875                 NAN
