combinations             integer         fixed point                  FP
10111110                 -62               -15.5                -1.5
10111111                 -63              -15.75               -1.75
11000000                 -64                 -16                  -2
11000001                 -65              -16.25                -2.5
11000010                 -66               -16.5                  -3
11000011                 -67              -16.75                -3.5
11000100                 -68                 -17                  -4
11000101                 -69              -17.25                  -5
11000110                 -70               -17.5                  -6
11000111                 -71              -17.75                  -7
11001000                 -72                 -18                  -8
11001001                 -73              -18.25                 -10
11001010                 -74               -18.5                 -12
11001011                 -75              -18.75                 -14
11001100                 -76                 -19                 -16
11001101                 -77              -19.25                 -20
11001110                 -78               -19.5                 -24
11001111                 -79              -19.75                 -28
11010000                 -80                 -20                 -32
11010001                 -81              -20.25                 -40
11010010                 -82               -20.5                 -48
11010011                 -83              -20.75                 -56
11010100                 -84                 -21                 -64
11010101                 -85              -21.25                 -80
11010110                 -86               -21.5                 -96
11010111                 -87              -21.75                -112
11011000                 -88                 -22                -128
11011001                 -89              -22.25                -160
11011010                 -90               -22.5                -192
11011011                 -91              -22.75                -224
11011100                 -92                 -23                -256
11011101                 -93              -23.25                -320
11011110                 -94               -23.5                -384
11011111                 -95              -23.75                -448
11100000                 -96                 -24                -512
11100001                 -97              -24.25                -640
11100010                 -98               -24.5                -768
11100011                 -99              -24.75                -896
11100100                -100                 -25               -1024
11100101                -101              -25.25               -1280
11100110                -102               -25.5               -1536
11100111                -103              -25.75               -1792
11101000                -104                 -26               -2048
11101001                -105              -26.25               -2560
11101010                -106               -26.5               -3072
11101011                -107              -26.75               -3584
11101100                -108                 -27               -4096
11101101                -109              -27.25               -5120
11101110                -110               -27.5               -6144
11101111                -111              -27.75               -7168
11110000                -112                 -28               -8192
11110001                -113              -28.25              -10240
11110010                -114               -28.5              -12288
11110011                -115              -28.75              -14336
11110100                -116                 -29              -16384
11110101                -117              -29.25              -20480
11110110                -118               -29.5              -24576
11110111                -119              -29.75              -28672
11111000                -120                 -30              -32768
11111001                -121              -30.25              -40960
11111010                -122               -30.5              -49152
11111011                -123              -30.75              -57344
11111100                -124                 -31           -infinity
11111101                -125              -31.25                 NAN
11111110                -126               -31.5                 NAN
11111111                -127              -31.75                 NAN
